Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L),Salinity (ppt),Ammonia (%),Nitrates (%)
Catfish,21.51,6.15,50.11,5.53,4.13,1.43,22.41
Salmon,10.87,6.83,8.96,9.28,34.02,2.1,17.64
Goldfish,17.28,7.11,8.5,5.14,4.95,2.89,47.08
Catfish,26.32,6.87,98.86,6.7,0.78,0.36,11.87
Clownfish,25.31,8.25,0.88,6.36,28.95,2.41,42.98
Bass,19.86,6.57,11.16,7.67,9.95,2.22,30.59
Eel,10.1,7.54,18.38,4.05,8.22,2.86,37.28
Goldfish,24.3,7.86,5.81,6.05,4.97,1.01,37.5
Bass,16.83,6.46,43.87,8.27,4.0,2.7,28.84
Tilapia,22.59,7.06,33.89,6.54,0.99,,1.0
Trout,13.33,,6.32,7.47,2.51,2.58,6.95
Eel,6.31,,11.53,4.08,20.54,0.39,16.9
Tilapia,26.61,7.86,39.99,6.94,0.19,2.69,15.92
Bass,23.79,7.15,19.93,5.83,7.63,0.22,9.27
Bass,24.59,6.19,37.18,5.16,4.79,1.97,17.3
Catfish,25.97,6.33,13.06,3.06,4.9,0.06,31.2
Bass,21.9,6.25,22.64,9.56,7.47,2.04,
Eel,17.31,7.6,26.99,4.44,8.93,1.98,38.86
Eel,24.04,6.62,16.69,3.6,,0.96,31.86
Goldfish,15.02,7.69,7.76,5.35,3.09,2.8,12.7
Salmon,10.31,6.55,2.46,8.08,24.64,2.68,35.2
Eel,,7.84,26.54,3.2,6.24,2.68,37.45
Salmon,14.57,7.41,0.34,,23.36,2.63,36.78
Catfish,21.14,7.01,84.16,3.3,4.65,0.83,20.18
Salmon,14.63,6.92,1.1,8.0,11.62,1.36,
Clownfish,26.04,8.16,2.55,7.09,31.08,1.67,31.0
Salmon,9.67,6.61,6.41,6.34,14.26,0.52,12.83
,25.41,7.88,27.21,3.69,1.98,2.8,28.33
Trout,,6.61,3.65,8.21,1.5,1.69,32.95
Eel,20.46,6.48,14.91,7.72,12.63,1.22,26.31
Salmon,11.15,6.93,1.06,11.39,10.85,2.65,32.06
Salmon,8.9,7.21,6.06,6.31,20.52,1.63,32.11
Bass,18.81,7.39,44.8,5.7,9.87,0.49,24.12
Tilapia,23.08,7.77,37.6,4.62,0.97,0.02,4.42
Goldfish,16.44,,9.98,7.37,4.0,0.79,16.43
Salmon,10.71,6.58,2.25,9.68,33.17,1.55,12.56
Catfish,27.79,7.86,27.19,3.34,4.1,1.82,19.47
Eel,19.14,,14.15,6.31,5.62,,18.91
Goldfish,21.04,7.16,8.93,,1.96,0.55,
Clownfish,27.33,8.34,2.31,6.64,32.35,2.13,45.59
Goldfish,24.52,7.72,8.77,6.17,3.8,,32.97
Clownfish,24.85,8.22,0.77,5.93,28.64,2.53,0.49
Clownfish,24.41,8.4,1.78,5.45,34.92,1.37,8.58
Salmon,13.53,6.85,6.72,8.54,14.58,2.98,42.56
Clownfish,27.55,8.17,,7.59,28.61,3.0,30.17
,21.32,7.82,17.17,,3.76,1.32,2.32
Eel,9.25,7.94,12.11,6.79,21.29,1.45,8.45
Catfish,26.98,7.29,7.11,5.66,1.2,1.22,
,12.71,6.96,2.23,9.79,31.75,1.13,24.94
Bass,19.42,7.45,23.65,4.93,9.15,1.05,36.29
Goldfish,10.58,7.85,17.58,7.71,4.09,0.17,33.43
Catfish,21.42,7.05,70.53,5.03,0.87,0.16,2.45
Eel,19.93,7.86,14.42,6.87,27.89,2.72,16.12
Salmon,13.71,7.13,9.15,11.7,19.59,2.58,16.16
,21.47,6.45,32.64,5.05,9.22,2.98,17.06
Eel,11.95,6.99,28.55,3.02,18.5,0.32,11.64
Bass,22.91,6.65,35.17,4.61,7.6,2.06,17.11
Tilapia,23.15,7.33,26.25,6.85,4.29,2.54,10.51
Trout,17.16,7.16,2.33,11.17,0.99,2.6,18.64
Goldfish,21.5,7.76,10.66,5.26,0.45,1.64,10.38
Bass,23.69,6.26,8.86,8.59,9.97,1.67,40.64
Salmon,10.6,7.4,0.29,8.28,31.88,,46.02
Bass,17.09,6.2,6.17,7.53,9.42,1.31,3.58
Salmon,9.67,7.37,8.39,8.47,29.08,2.47,16.94
Tilapia,28.35,6.71,24.58,5.8,0.1,1.95,34.6
Goldfish,23.27,7.74,7.9,7.46,1.79,1.56,9.59
Eel,12.86,7.77,24.9,3.52,7.42,1.19,38.44
Goldfish,12.0,7.36,11.84,5.11,2.36,1.58,42.0
Goldfish,24.31,7.0,14.95,5.12,1.61,2.86,25.48
Tilapia,25.12,7.28,47.72,7.25,3.35,2.84,29.89
Clownfish,27.0,7.92,4.39,5.35,,1.99,30.64
Salmon,10.63,6.89,2.09,9.7,30.26,2.21,24.61
Catfish,25.76,7.86,47.38,3.22,0.88,2.47,7.48
Goldfish,22.02,7.51,13.83,5.89,4.12,0.38,38.16
Goldfish,21.37,7.01,13.35,7.57,2.63,1.05,17.69
Goldfish,12.78,8.19,13.02,5.76,4.48,0.21,6.8
Clownfish,25.66,8.1,,7.27,34.15,1.08,22.63
,22.91,6.7,15.84,4.55,22.72,,32.93
Trout,14.61,6.58,2.29,8.39,,1.74,43.3
Catfish,22.08,7.16,44.06,5.26,1.03,1.68,41.77
Tilapia,26.65,7.23,,6.65,4.16,2.26,24.32
Tilapia,25.21,6.87,384.7838669430237,4.62,4.47,0.45,43.22
Trout,11.8,7.31,8.85,8.48,,1.77,35.2
Clownfish,24.31,7.84,2.59,5.06,29.26,2.87,13.58
Trout,17.76,6.69,0.11,7.35,0.95,0.06,35.37
Salmon,14.33,7.33,2.06,10.62,,0.94,25.82
Clownfish,25.49,8.16,4.47,7.25,31.16,1.2,12.57
Clownfish,27.53,7.93,2.77,5.04,33.55,2.13,32.03
Salmon,14.73,,5.02,11.26,32.65,2.14,29.61
Catfish,26.27,6.98,97.98,6.79,0.81,1.48,
Goldfish,16.22,8.15,8.62,7.99,0.52,1.14,23.45
Clownfish,24.25,8.32,1.19,7.45,32.93,2.22,0.66
Catfish,25.17,6.94,66.47,4.49,2.14,0.46,
Catfish,20.59,7.12,73.87,4.89,3.75,2.82,20.15
Salmon,11.05,7.04,2.74,10.1,10.71,1.71,12.94
Bass,22.64,7.31,23.82,9.95,6.53,1.5,46.77
Salmon,10.65,7.24,,11.56,32.33,1.48,2.5
Clownfish,25.74,7.9,4.01,7.64,31.01,0.36,23.17
Eel,15.0,6.13,17.46,3.11,23.52,1.81,0.54
Bass,22.76,6.22,49.78,7.08,8.73,0.89,21.55
,25.65,8.36,4.79,6.81,31.24,2.92,16.68
Clownfish,27.76,7.98,0.97,6.87,34.19,2.19,19.37
Eel,13.8,6.5,20.29,,11.59,1.21,22.52
Trout,10.91,7.28,1.25,9.89,2.22,0.75,35.01
Tilapia,28.82,6.78,44.73,7.42,4.78,1.76,19.67
Eel,8.01,7.54,27.05,7.52,21.06,2.95,4.67
Salmon,14.45,7.0,6.07,11.85,17.95,0.35,46.83
Clownfish,26.62,7.84,4.8,7.04,,0.34,17.74
Clownfish,24.99,7.89,3.0,7.26,31.51,2.47,31.61
Bass,16.29,6.32,44.78,9.42,0.98,1.64,30.2
Bass,20.37,7.02,24.62,5.73,6.94,0.12,45.92
Catfish,,6.0,77.72,6.03,4.4,2.57,1.72
Tilapia,28.63,,32.35,5.32,4.94,0.55,3.13
Eel,17.08,6.75,,7.75,8.08,,11.69
Clownfish,,,3.35,6.93,29.29,2.56,
Bass,20.89,6.36,24.93,6.26,6.6,2.62,0.32
Salmon,10.57,7.0,,9.17,16.74,1.68,17.94
Goldfish,13.69,8.18,13.55,7.81,4.26,2.68,10.38
Catfish,22.24,7.34,90.51,3.23,4.09,1.58,
Goldfish,17.56,7.62,17.4,7.26,0.26,2.95,49.67
Trout,14.05,6.72,0.25,8.52,0.1,1.62,20.18
Eel,,7.39,,7.45,14.51,2.28,45.73
Trout,17.39,,3.64,9.82,3.56,,46.6
Catfish,,6.97,70.79,5.8,0.46,1.31,16.37
Goldfish,18.92,7.29,11.83,6.69,1.16,2.45,29.14
Catfish,23.17,6.81,73.26,4.32,4.8,0.09,1.04
Eel,19.66,6.54,15.19,4.87,17.76,2.81,35.2
Bass,17.06,7.13,141.6715921296941,6.59,7.0,,33.55
,22.33,6.88,43.0,8.91,0.96,1.65,4.79
Trout,16.66,7.27,7.9,,2.79,1.05,48.31
Eel,15.17,7.78,14.76,5.28,10.62,1.81,44.86
Salmon,11.43,7.08,6.37,6.36,19.42,1.68,0.95
Bass,24.29,6.78,10.9,8.66,1.39,2.87,17.52
Trout,13.81,,4.21,8.68,0.18,0.66,35.36
Tilapia,26.72,7.81,30.97,7.74,3.27,0.3,28.94
Salmon,13.77,7.32,0.43,10.82,18.47,2.16,40.78
Tilapia,24.1,,35.63,4.03,,0.25,
,24.35,7.67,28.86,4.14,,0.78,17.61
Catfish,24.46,6.69,68.94,5.99,1.5,0.82,7.41
Catfish,26.51,6.07,37.35,4.82,3.51,1.34,14.13
Clownfish,26.45,8.3,2.2,6.2,30.17,1.03,29.0
,10.96,8.32,16.75,6.26,1.81,1.25,42.53
Bass,16.05,6.1,16.53,4.51,4.55,,32.53
Trout,,6.82,7.55,11.47,2.78,2.59,23.54
,8.9,6.86,1.08,10.88,16.96,2.13,37.67
Clownfish,27.13,8.13,,6.78,31.15,0.23,26.62
Bass,16.92,6.14,39.91,4.96,1.93,1.91,37.89
Trout,13.85,6.65,3.42,10.69,4.82,2.62,11.45
Eel,22.54,,12.58,6.11,5.6,2.4,
Eel,18.11,7.18,21.84,5.86,6.84,0.31,28.48
Bass,19.62,7.23,34.35,4.88,5.61,1.17,37.89
Tilapia,25.26,7.05,15.07,-0.37760898686139677,2.62,2.87,5.82
Salmon,10.3,6.54,,9.31,19.89,1.14,8.24
Tilapia,25.91,7.49,27.2,6.85,4.15,2.33,1.03
Catfish,20.83,7.99,,6.01,1.22,0.88,34.67
Catfish,25.7,7.31,45.11,6.28,,0.09,36.88
Salmon,10.24,,7.03,11.48,,0.69,28.09
Tilapia,22.46,6.67,29.69,5.4,2.18,0.9,25.83
Bass,22.22,7.22,8.12,5.93,7.12,0.62,28.48
Salmon,8.67,6.88,2.13,9.98,24.93,1.32,17.41
Catfish,20.2,6.63,81.86,3.55,2.83,2.49,35.51
Eel,11.91,,25.81,4.74,20.69,2.63,31.43
Eel,5.16,6.77,27.33,7.72,24.79,0.83,31.12
Goldfish,13.17,7.7,9.3,5.46,0.58,0.01,23.14
Eel,10.25,6.97,12.29,3.34,10.5,0.52,
Clownfish,25.36,7.98,3.67,,28.67,1.2,2.94
Clownfish,26.01,,,5.36,29.58,,11.9
Salmon,11.19,7.24,2.12,7.89,34.97,2.5,18.23
Salmon,9.56,6.9,3.6,8.71,,0.33,32.0
Salmon,10.69,,3.97,10.98,16.4,1.46,20.87
Eel,12.6,6.35,,3.02,16.65,0.16,40.13
Bass,20.62,6.58,46.84,8.71,,,3.71
Tilapia,29.32,6.71,35.23,7.71,1.03,0.43,3.24
Tilapia,25.73,6.98,11.06,5.18,1.07,2.22,24.61
Bass,15.33,7.11,39.94,5.58,8.97,2.17,32.08
Salmon,11.51,7.3,9.96,11.05,11.72,0.61,26.51
Clownfish,24.04,8.15,0.4,5.98,33.26,1.25,16.4
Eel,22.98,6.58,25.2,7.86,21.44,1.08,
Goldfish,21.62,7.04,8.0,7.82,1.54,2.62,25.12
Bass,24.61,6.46,33.6,4.19,,2.89,26.24
Eel,13.5,7.99,25.04,4.61,12.94,2.98,1.23
Tilapia,,6.76,44.97,6.52,,,34.42
Bass,24.16,6.22,14.79,4.98,,,28.37
Goldfish,23.23,7.89,10.78,6.51,2.42,2.38,38.3
Clownfish,25.18,8.31,0.25,5.98,29.02,1.51,37.7
Salmon,12.46,7.2,4.35,11.09,21.35,,35.16
Trout,13.99,6.99,7.83,8.34,4.96,0.83,1.06
,26.33,7.79,24.68,3.27,3.95,2.13,10.88
Clownfish,27.97,7.95,2.99,6.44,29.07,2.85,43.32
Bass,20.49,6.49,24.87,8.74,3.79,0.45,16.69
Tilapia,25.89,6.61,46.75,7.37,0.25,0.94,19.47
Bass,24.6,6.41,45.63,6.54,0.14,1.0,12.15
Bass,16.14,7.09,7.73,9.43,0.91,,49.8
Trout,17.92,7.37,9.04,10.93,4.14,0.8,6.39
Eel,,6.31,29.9,4.75,16.75,1.62,38.63
Tilapia,23.82,6.6,25.41,5.15,0.76,1.76,13.41
Trout,15.17,6.6,8.69,,2.9,2.15,29.91
Trout,11.96,7.06,0.72,7.17,4.05,2.57,8.51
Bass,19.64,6.76,37.18,7.75,5.39,1.28,11.13
Goldfish,11.98,8.21,6.0,,4.87,,23.63
Salmon,12.62,7.43,3.77,7.5,29.67,1.89,6.3
Clownfish,27.53,8.03,1.62,6.31,28.5,0.53,44.97
Clownfish,26.44,7.82,3.96,,29.72,0.08,26.94
Trout,12.76,7.38,6.48,7.1,2.33,2.7,9.09
Salmon,13.48,6.78,5.61,8.48,33.6,0.43,23.58
Goldfish,18.9,7.49,16.93,6.91,4.47,0.66,
Goldfish,15.28,7.3,,7.91,0.34,0.55,24.3
Clownfish,24.44,8.17,0.68,7.1,28.55,2.79,32.11
Tilapia,28.99,7.92,13.21,6.84,3.93,1.59,15.73
Bass,22.8,6.65,33.45,9.71,6.46,1.24,18.2
Eel,23.7,7.45,19.19,7.27,,0.9,8.74
Clownfish,27.53,7.99,0.88,5.07,28.63,2.12,48.12
Tilapia,24.03,6.7,31.44,7.76,4.58,0.16,48.66
Salmon,10.72,6.69,8.33,10.35,14.46,1.52,2.09
Goldfish,24.82,8.48,7.0,6.68,2.26,0.66,3.75
Bass,24.7,6.45,26.15,8.21,9.57,1.56,38.69
Tilapia,22.87,6.67,49.33,7.01,2.96,1.67,29.44
Goldfish,11.05,8.24,11.73,6.06,,1.78,39.43
Bass,17.28,6.64,29.69,9.27,4.38,1.62,19.67
Catfish,20.36,7.63,68.65,6.93,4.52,2.07,29.21
Clownfish,27.52,8.3,2.6,5.6,34.87,1.59,40.39
Bass,23.26,7.38,12.5,7.8,7.25,0.51,38.11
Clownfish,27.79,8.32,3.32,5.72,28.14,0.08,33.24
Catfish,21.87,6.38,43.31,5.53,3.7,0.16,19.85
Eel,21.49,6.77,18.42,6.77,10.0,1.04,17.23
Eel,7.3,,17.0,4.69,9.76,2.08,29.07
Salmon,13.98,,8.09,10.52,11.37,1.83,10.72
Salmon,12.98,7.29,3.62,6.34,25.31,,31.15
Salmon,12.01,6.91,4.92,6.2,,0.51,39.0
Clownfish,26.14,8.29,2.22,7.4,31.72,0.09,26.16
Clownfish,24.74,8.12,3.3,6.71,,0.16,7.89
Trout,11.91,7.14,9.95,9.83,1.82,0.67,48.57
Tilapia,23.22,11.891508288573228,18.18,8.0,4.14,0.3,24.2
Trout,14.02,7.44,129.2092197578632,10.66,1.0,0.92,27.3
Goldfish,13.57,7.39,9.33,4.234557343536144,0.32,2.61,46.48
Catfish,21.83,7.49,42.86,6.39,4.43,2.71,15.52
Catfish,,6.67,71.5,3.78,1.59,1.11,36.48
Bass,19.1,6.39,26.01,6.76,7.15,0.03,36.21
Tilapia,23.15,7.33,40.4,,0.6,1.32,14.3
Catfish,26.91,6.14,,3.92,0.96,2.39,23.51
Tilapia,28.99,7.9,46.57,4.91,4.83,0.03,10.46
Tilapia,24.63,7.4,44.01,5.34,1.92,0.2,17.92
Clownfish,25.05,7.93,3.44,6.78,30.63,1.57,29.1
Trout,16.74,7.47,9.14,11.32,0.45,2.41,5.93
Clownfish,25.42,8.32,450.85622442205533,7.76,28.39,2.34,15.61
Salmon,14.68,6.69,0.76,8.95,16.56,0.4,34.15
Salmon,9.41,6.67,8.03,10.11,16.04,1.66,10.53
Clownfish,26.81,7.92,,6.46,32.49,1.92,13.97
Clownfish,25.51,8.19,,6.21,33.04,0.19,11.67
Catfish,26.42,7.69,98.95,4.42,4.82,0.13,27.5
Goldfish,22.59,7.38,11.62,5.24,4.69,0.46,5.34
Clownfish,25.84,8.09,0.41,7.9,33.12,2.97,26.31
Bass,24.17,6.89,13.13,8.77,7.46,1.51,35.43
Bass,24.5,7.41,18.27,9.79,1.65,2.06,48.11
,27.11,8.24,2.64,7.93,30.2,2.06,15.56
Bass,21.35,6.43,34.54,,1.69,1.5,1.0
Catfish,23.37,7.34,26.83,3.15,2.01,0.19,28.45
Eel,21.93,7.47,24.98,6.53,15.24,1.29,35.2
Catfish,25.17,7.15,30.37,4.54,0.12,0.75,44.5
Clownfish,27.1,7.84,4.57,5.47,31.84,2.1,
Bass,21.52,7.03,6.66,5.68,7.71,2.32,37.73
Tilapia,26.11,7.61,20.58,4.21,0.72,0.64,18.7
Eel,18.7,,23.16,,24.87,1.12,11.82
Catfish,21.2,7.44,38.02,6.52,1.86,1.4,
Trout,17.57,6.91,7.86,10.13,1.52,2.72,48.97
Goldfish,19.4,8.03,13.73,7.06,2.34,2.88,
Goldfish,18.14,7.14,11.61,7.44,0.81,2.76,8.96
Goldfish,16.36,7.17,5.26,7.39,0.4,2.17,40.3
Salmon,14.27,7.13,0.68,6.83,29.06,0.58,
Goldfish,19.97,7.24,16.67,7.02,0.27,2.91,22.99
Catfish,26.54,6.24,96.78,6.49,4.41,1.84,34.6
Tilapia,28.8,6.81,33.86,7.89,4.33,2.88,
,10.7,6.93,0.08,7.35,17.78,1.3,12.46
Eel,17.63,7.59,29.29,6.6,18.92,0.41,3.0
Salmon,12.21,6.55,9.74,11.32,10.9,0.02,12.89
Bass,17.42,7.32,8.06,,4.48,0.6,26.57
Trout,16.38,6.58,0.49,8.98,4.44,1.74,3.21
Clownfish,25.05,8.12,4.44,5.19,33.61,,8.99
Salmon,8.19,6.75,1.77,8.63,23.27,0.75,19.82
Goldfish,22.7,,10.9,6.7,0.45,1.64,12.5
Trout,,6.83,6.27,8.98,3.43,2.55,21.09
Goldfish,12.34,8.21,16.85,5.91,4.65,2.83,28.78
Bass,19.46,6.98,7.79,7.8,5.46,2.64,9.1
Goldfish,16.91,7.55,12.76,7.97,4.05,2.75,11.66
,10.66,6.63,3.21,11.29,1.6,,40.97
Goldfish,13.06,7.56,19.21,6.01,4.6,2.83,38.09
Tilapia,26.76,7.28,14.09,7.76,0.93,1.28,25.65
Goldfish,22.11,,8.65,6.37,2.0,0.27,12.52
Clownfish,26.51,8.14,4.28,5.34,29.34,0.94,3.7
Goldfish,23.1,7.69,7.58,5.39,1.02,2.67,22.61
,7.17,7.22,14.31,6.24,16.98,1.78,5.93
Eel,22.63,6.2,,7.02,8.02,0.59,
Salmon,12.76,6.64,3.87,,23.05,1.68,36.93
,29.73,7.03,41.98,7.7,2.15,1.04,45.88
Trout,17.91,7.39,3.09,8.16,2.36,1.36,21.5
Clownfish,24.97,7.95,1.4,6.32,33.15,2.55,24.51
Trout,15.08,6.95,8.9,9.04,4.16,0.01,1.29
Salmon,8.9,7.04,5.43,8.92,31.83,1.33,15.07
Goldfish,20.74,,9.84,6.22,1.18,0.09,46.68
Salmon,11.54,6.94,1.98,,16.94,2.52,4.37
Salmon,9.96,7.09,7.95,11.98,23.97,0.82,45.41
Eel,21.04,7.37,18.17,3.22,17.13,2.86,12.0
Clownfish,26.6,7.81,4.73,7.1,30.03,0.97,1.04
Eel,13.5,7.03,14.5,3.4,,0.78,17.48
Trout,15.5,7.23,3.31,7.6,3.7,0.48,14.94
Salmon,14.88,,5.62,9.53,25.74,0.0,44.69
Tilapia,,7.98,38.57,6.33,3.21,0.82,28.72
Eel,24.88,7.7,15.54,3.47,27.08,1.37,46.09
Salmon,12.92,6.74,0.99,10.05,,1.59,37.68
Bass,20.57,6.44,,6.46,6.53,1.8,33.03
Salmon,9.94,6.89,6.09,9.96,19.9,1.07,9.19
Bass,22.97,6.51,23.84,6.12,3.58,2.83,1.98
Eel,13.28,7.25,11.41,7.84,29.58,2.13,6.11
Eel,,6.34,19.3,5.51,9.6,0.38,17.76
Goldfish,12.89,7.74,9.3,5.25,0.29,0.17,34.42
Clownfish,26.79,8.28,2.14,7.04,32.15,1.06,21.8
Catfish,23.54,7.48,52.55,4.05,2.47,0.68,6.43
Tilapia,22.21,7.4,15.17,7.6,0.93,1.17,38.33
Eel,22.54,7.12,12.38,3.64,28.61,2.73,15.78
Salmon,9.45,6.9,0.76,11.65,18.54,1.72,46.83
Bass,,7.35,41.55,7.81,2.92,2.43,45.71
Salmon,14.87,6.81,9.93,,14.29,2.78,15.59
Eel,19.46,6.96,27.06,4.25,21.2,0.92,13.28
Clownfish,24.13,8.07,4.38,5.58,34.13,1.49,12.69
Salmon,13.03,7.04,4.64,8.86,21.26,2.01,22.88
Catfish,22.65,7.3,9.94,6.11,0.87,1.66,42.72
Goldfish,22.11,8.09,7.43,6.34,0.16,1.24,17.71
Tilapia,29.99,,31.74,7.9,1.94,1.58,24.86
Tilapia,25.26,6.74,11.72,7.18,1.6,0.13,38.72
Goldfish,13.67,7.77,6.52,6.71,0.37,2.62,23.7
Bass,19.62,6.39,34.86,8.08,9.3,1.96,32.42
Eel,10.47,6.55,26.37,7.28,27.16,2.43,44.71
Tilapia,22.16,6.69,22.77,5.4,0.06,1.89,47.86
Bass,18.23,6.21,,8.85,7.47,1.94,20.62
Catfish,26.78,6.54,109.57789194663138,4.48,1.59,2.09,19.76
Salmon,13.2,7.15,6.03,,21.31,2.17,36.25
Bass,20.88,6.96,26.98,8.29,6.05,2.65,18.4
Goldfish,16.68,7.93,6.39,7.05,4.6,1.67,30.45
Tilapia,27.84,7.61,19.31,5.75,3.81,0.2,30.36
Salmon,10.11,,6.8,10.12,14.09,2.27,21.58
Tilapia,28.32,6.8,12.29,6.91,0.78,0.62,6.55
Salmon,10.96,6.99,3.69,7.11,31.76,1.37,
Trout,11.3,6.62,2.09,7.74,0.71,0.52,13.02
Trout,13.0,6.58,2.34,8.66,,1.64,28.13
,17.1,6.08,40.53,5.65,7.78,1.21,19.4
Bass,19.92,6.25,46.13,9.43,1.4,2.9,1.88
Goldfish,12.98,7.35,6.36,7.83,3.75,2.27,
Goldfish,18.25,7.02,6.16,5.21,2.99,0.33,24.9
Clownfish,24.45,8.31,1.2,6.7,30.64,1.27,40.69
Clownfish,27.61,8.05,0.82,7.2,34.83,1.38,25.64
Tilapia,,6.83,46.05,4.07,1.11,1.17,46.71
Clownfish,27.82,8.07,0.78,7.49,34.92,0.67,29.47
Catfish,21.49,7.72,95.07,16.774478523767712,2.5,0.06,44.31
Tilapia,28.71,6.66,11.63,5.8,4.11,0.29,45.39
Salmon,8.11,6.99,7.51,10.62,33.73,0.16,40.6
Trout,13.9,7.4,6.11,8.18,0.54,1.66,36.91
Goldfish,23.33,7.66,14.35,5.32,0.6,2.55,13.79
,15.44,7.69,17.49,,0.71,0.0,27.63
Bass,21.37,6.45,,8.04,6.0,1.26,6.95
Trout,13.76,7.46,3.04,10.59,4.11,0.04,11.98
Goldfish,24.31,7.41,12.87,7.96,1.92,2.28,2.77
,25.76,7.81,3.09,5.25,30.78,2.63,36.71
Salmon,10.42,7.16,2.55,9.83,17.06,2.48,27.26
Clownfish,26.08,8.0,1.23,5.78,28.07,1.79,17.59
Eel,21.0,4.964331951874364,17.75,7.85,11.98,1.4,42.43
Catfish,24.56,6.53,59.86,3.02,,2.92,47.63
Salmon,10.89,7.09,1.0,11.43,20.35,2.67,0.91
Bass,24.39,7.28,33.67,,8.23,1.98,
Eel,,6.83,19.51,3.86,28.63,2.21,43.23
Catfish,24.7,7.3,34.85,3.05,3.12,2.4,
Bass,,7.24,,8.73,8.79,2.59,17.07
Trout,17.76,7.48,3.34,10.3,4.56,1.6,
Clownfish,24.15,7.89,2.34,5.86,32.07,2.99,42.42
Eel,22.77,7.58,19.84,5.39,29.19,2.03,5.58
Catfish,,6.99,49.45,5.91,1.95,2.47,
Clownfish,26.43,8.31,2.68,,29.6,0.92,37.09
Bass,15.95,7.25,26.91,5.84,6.0,2.15,16.25
,,7.14,9.61,6.83,26.66,1.89,11.07
Catfish,27.2,6.51,,6.73,1.55,1.53,47.34
Bass,15.31,6.06,13.22,5.36,4.16,1.24,29.35
Salmon,14.47,6.69,4.26,8.17,12.44,0.71,31.81
Eel,10.32,6.55,,5.13,17.5,0.55,20.78
Tilapia,24.61,7.51,38.97,6.68,0.58,1.5,43.49
Catfish,21.68,6.33,82.13,6.74,2.64,2.59,7.97
Eel,18.88,6.79,15.81,4.0,22.09,2.79,24.83
Eel,14.41,7.69,24.33,7.68,17.44,0.98,33.7
Eel,9.04,7.52,15.29,7.07,9.0,2.2,
Bass,23.75,6.8,14.24,8.34,8.59,1.85,25.16
Catfish,22.88,7.28,53.8,6.24,2.54,,24.83
Trout,14.42,6.84,5.34,9.5,2.19,2.95,1.54
,13.18,6.67,2.66,8.71,15.49,0.31,45.53
Catfish,21.15,6.5,5.91,6.39,2.51,0.17,26.52
Bass,22.42,7.35,36.64,5.38,,0.79,3.83
Tilapia,27.41,7.6,19.5,5.01,1.33,1.36,23.44
Tilapia,25.19,7.78,17.64,7.55,4.37,0.45,24.13
Eel,19.57,6.46,22.06,5.43,25.53,0.08,22.19
Eel,17.4,6.21,23.46,,9.33,0.68,44.05
Clownfish,25.77,7.85,1.14,5.55,31.76,2.83,16.7
Clownfish,26.95,7.91,1.29,5.76,33.75,1.69,13.43
Tilapia,26.8,6.73,46.99,7.38,4.65,2.04,4.24
,21.11,6.19,58.55,6.15,0.74,2.29,38.69
Clownfish,25.83,8.02,1.9,7.64,31.71,2.37,46.38
Goldfish,24.92,7.36,6.6,6.4,2.86,2.27,0.02
Goldfish,10.66,8.16,18.21,7.95,3.93,2.6,12.11
Clownfish,25.15,8.07,0.35,6.58,,1.62,7.01
Bass,20.68,6.09,37.84,5.06,3.85,2.56,11.35
Salmon,11.09,7.22,0.79,9.01,17.55,0.53,8.54
Clownfish,27.39,7.94,1.26,7.38,28.89,2.44,22.05
Catfish,23.93,7.53,96.4,3.78,2.01,0.12,47.24
Tilapia,22.82,6.55,22.56,7.47,,1.81,22.94
Clownfish,24.89,7.84,4.76,6.11,33.65,2.04,16.44
Tilapia,29.13,7.23,39.23,6.13,3.25,0.48,20.81
Catfish,21.76,7.06,31.72,6.43,1.19,2.87,49.27
Eel,11.24,7.93,12.06,5.9,19.97,2.3,26.18
Goldfish,,7.31,7.09,6.72,4.19,2.3,33.77
Trout,13.26,6.74,4.79,11.88,0.77,1.07,41.84
Clownfish,26.94,8.35,4.7,7.54,29.96,2.0,12.6
Tilapia,26.31,7.18,14.83,5.36,4.3,2.63,1.66
Clownfish,24.53,7.96,2.53,6.57,29.76,1.11,14.54
Salmon,8.46,,,9.52,21.8,1.97,3.81
Goldfish,22.36,7.31,17.97,6.77,4.74,1.06,10.23
Eel,22.4,6.91,15.11,7.55,19.2,0.75,
Bass,,7.31,27.79,8.71,8.37,1.71,32.32
Clownfish,,8.04,3.59,,33.63,1.87,10.64
Tilapia,28.26,7.19,44.98,5.04,3.0,0.54,17.27
Eel,,7.9,27.47,,26.93,0.46,17.13
Tilapia,23.24,7.12,19.79,,2.89,2.44,11.84
Trout,14.22,6.86,8.88,8.59,3.16,0.12,49.39
Salmon,11.93,6.94,5.25,8.45,34.9,0.33,15.16
Trout,17.79,6.93,3.76,7.21,4.91,2.82,31.03
Eel,8.38,6.44,15.39,3.61,23.39,2.93,31.34
Tilapia,24.2,6.66,38.85,6.95,4.29,1.15,38.15
Trout,12.19,7.37,6.21,10.65,0.09,2.32,0.46
Goldfish,18.88,8.29,15.78,7.67,1.57,,11.3
Goldfish,14.57,7.5,8.66,6.88,4.92,2.14,
Bass,24.64,6.67,17.1,7.55,9.38,2.28,45.59
Catfish,21.96,7.51,82.37,3.64,0.12,1.4,43.35
Bass,18.02,6.19,31.56,5.98,5.22,1.49,18.18
