Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L)
Goldfish,22.31,7.42,13.18,7.62
Catfish,21.18,7.47,59.72,3.38
Trout,15.01,7.36,2.39,7.77
,21.03,6.52,22.15,3.67
Clownfish,26.27,8.4,3.44,5.88
Salmon,13.42,7.02,8.91,10.95
Tilapia,,7.48,25.8,4.61
Eel,6.22,6.61,19.66,3.25
Salmon,8.12,7.22,1.49,10.5
Catfish,23.71,7.97,66.43,5.85
Salmon,14.2,6.74,3.57,7.11
Eel,13.66,6.09,19.92,4.32
,29.67,7.48,43.31,5.49
Trout,15.9,,2.46,8.28
Bass,17.29,6.56,,9.0
Tilapia,24.48,7.93,18.86,5.84
Tilapia,22.47,7.69,33.32,7.29
Bass,24.24,6.32,,9.79
Clownfish,25.06,8.11,4.21,5.27
Clownfish,27.51,7.82,3.17,5.0
Clownfish,25.36,7.99,4.05,7.57
Salmon,10.6,7.32,7.51,7.82
Trout,13.94,7.44,1.83,
Bass,19.06,6.66,41.38,9.46
Goldfish,15.75,8.21,5.66,7.18
Tilapia,25.05,6.78,34.83,7.1
Clownfish,25.77,7.99,0.28,5.74
Eel,19.08,6.21,16.72,4.92
Salmon,12.05,7.01,8.57,7.52
Tilapia,23.41,,16.81,6.99
Tilapia,23.87,6.56,17.81,6.16
,26.53,6.76,70.54,4.97
Tilapia,,7.23,11.33,7.76
Bass,17.08,7.34,24.38,9.57
Catfish,26.18,6.65,24.6,5.19
Bass,18.49,7.28,17.38,4.05
Clownfish,27.76,8.12,4.57,7.5
Tilapia,28.0,6.98,33.91,
Trout,13.99,7.32,4.7,9.43
Tilapia,25.67,7.13,14.58,5.8
Bass,21.01,7.32,40.52,6.03
Eel,20.96,7.54,28.58,7.2
Bass,23.47,6.7,25.89,6.48
Goldfish,21.9,7.67,6.18,7.75
Catfish,22.48,7.85,33.88,6.02
Salmon,12.66,6.98,5.35,7.78
,23.2,7.27,16.94,5.06
Bass,22.15,7.28,24.22,8.64
Eel,6.25,7.84,22.07,4.02
Goldfish,10.58,8.35,14.36,7.71
Tilapia,23.52,7.3,37.38,7.59
Clownfish,,8.03,3.55,7.09
Salmon,10.41,7.04,8.35,6.7
Tilapia,22.42,7.65,30.47,
Goldfish,10.18,7.61,9.81,5.98
Goldfish,21.2,8.18,9.46,7.99
Goldfish,10.96,7.74,12.36,7.92
Salmon,8.72,7.4,9.75,7.49
Eel,18.3,6.19,16.04,4.68
Clownfish,27.37,8.27,0.2,5.2
Trout,17.62,7.05,1.62,7.04
Eel,6.4,6.83,26.15,3.19
Tilapia,,6.96,40.96,6.56
Tilapia,24.59,6.9,,4.68
Eel,10.89,,15.58,3.14
Salmon,8.6,,4.97,6.83
Catfish,20.26,6.6,52.13,4.07
Eel,11.0,7.04,25.46,5.58
Tilapia,22.27,7.21,32.6,6.74
Trout,13.64,7.15,2.91,10.87
Catfish,23.94,7.72,,6.95
Goldfish,,,12.7,7.78
Goldfish,16.73,7.09,13.79,5.49
Tilapia,23.64,6.8,16.25,7.78
Clownfish,24.41,7.97,1.37,7.71
Goldfish,24.6,8.08,6.65,7.86
,17.48,8.27,17.3,6.85
Eel,14.9,7.79,28.62,7.96
,29.95,7.16,45.33,4.94
Clownfish,26.47,8.17,,7.28
Catfish,,7.78,8.93,6.39
Trout,11.92,7.18,8.26,9.52
Eel,12.11,7.0,16.51,3.77
Salmon,9.66,7.09,0.33,7.0
Catfish,26.85,7.77,14.67,3.07
Salmon,8.19,7.19,7.48,10.25
Catfish,24.27,6.5,60.19,
Tilapia,23.58,6.98,31.94,5.06
Goldfish,13.4,7.32,19.24,6.16
Catfish,22.82,7.1,65.88,4.31
Trout,12.66,7.34,2.77,8.85
Clownfish,24.65,8.4,2.12,
Catfish,22.83,6.81,96.76,3.13
Tilapia,24.41,7.67,28.02,7.43
Salmon,13.58,6.77,9.96,7.75
Eel,16.98,7.73,14.69,3.95
Eel,18.93,6.22,17.15,4.53
Catfish,25.19,,74.04,
Clownfish,27.64,7.81,1.9,5.98
Bass,21.5,6.1,19.43,9.21
Trout,13.96,7.06,8.06,10.1
Tilapia,27.71,7.88,42.11,4.51
Catfish,24.87,7.03,12.67,5.49
Tilapia,22.93,7.97,26.47,7.87
Clownfish,24.12,8.11,0.32,5.41
Bass,15.14,6.38,,4.39
Goldfish,13.92,7.2,7.2,6.51
Bass,21.29,6.67,33.71,6.66
Goldfish,15.67,7.67,5.27,7.73
Goldfish,22.07,7.1,6.04,5.14
Clownfish,27.65,8.16,2.35,5.39
Salmon,13.5,7.07,9.49,7.09
Goldfish,16.9,7.56,11.37,6.65
Trout,14.96,7.09,9.95,8.78
Clownfish,24.46,8.33,3.58,7.99
Bass,18.9,7.18,49.6,6.58
Clownfish,24.38,8.12,1.06,7.51
Salmon,13.98,7.19,5.6,10.3
Goldfish,11.72,8.27,16.88,6.61
Eel,16.56,7.32,22.81,3.5
Eel,16.87,6.1,27.02,4.27
Eel,14.91,,15.03,7.02
Tilapia,22.95,7.28,36.36,7.45
Tilapia,28.82,7.54,46.51,4.84
Eel,7.59,7.45,,6.62
Salmon,8.97,7.36,8.12,8.65
Salmon,11.54,,2.13,
Tilapia,27.45,7.86,38.11,7.95
Bass,19.06,6.11,38.67,5.03
Trout,10.29,7.5,1.9,7.06
Goldfish,,8.09,5.29,5.45
Trout,11.24,7.29,8.99,10.01
,11.47,7.15,7.44,11.6
Eel,17.31,6.22,27.03,6.61
Trout,14.34,7.17,5.77,9.07
Clownfish,25.88,8.34,3.26,7.25
Salmon,13.04,6.72,0.44,9.62
Trout,11.03,6.8,,10.28
Salmon,12.04,7.43,9.15,10.69
Bass,22.12,6.82,,5.11
Goldfish,23.42,7.47,18.17,5.17
Goldfish,18.42,7.1,10.6,5.1
Trout,13.25,6.8,2.99,11.03
Salmon,10.37,7.27,,10.87
Trout,15.36,7.28,2.3,10.4
Catfish,27.02,6.85,14.24,6.95
Goldfish,11.36,7.78,,
Salmon,10.5,7.04,2.86,6.35
Eel,,,18.4,6.73
Clownfish,26.46,7.92,,7.03
Eel,14.53,,16.23,4.56
Trout,13.37,6.65,3.56,11.47
Clownfish,24.2,8.09,,
,15.82,7.74,11.34,
Clownfish,24.57,7.88,2.61,6.54
Bass,,7.24,33.91,7.6
Salmon,11.92,7.1,4.88,7.37
Tilapia,26.91,7.22,38.64,6.66
Goldfish,24.5,8.2,9.15,6.87
Bass,24.26,7.36,18.54,9.26
Goldfish,12.92,8.34,13.65,6.0
Goldfish,13.07,7.9,16.17,7.85
Salmon,12.53,,4.49,7.99
Eel,10.55,7.13,,5.84
Catfish,20.15,6.62,5.55,4.31
Trout,10.36,,5.08,7.98
Eel,5.95,7.05,24.33,5.67
Trout,16.82,7.3,9.83,7.27
Salmon,10.5,6.98,6.43,8.3
Bass,16.93,7.41,49.67,6.63
Catfish,22.39,6.89,54.98,5.23
Catfish,22.34,7.2,46.53,4.01
Tilapia,22.1,7.37,35.91,6.03
Goldfish,13.34,,8.71,6.9
Clownfish,27.45,7.99,4.62,5.81
Goldfish,17.22,8.42,14.97,5.04
Trout,14.37,6.7,9.19,10.68
Salmon,10.86,7.1,5.65,10.55
Clownfish,24.18,8.07,1.65,5.88
,23.05,7.84,88.67,5.57
Tilapia,27.38,6.97,12.82,6.3
Goldfish,19.59,7.87,17.7,6.71
Catfish,27.2,7.91,55.52,3.84
Trout,14.28,7.14,6.01,10.61
,10.79,6.42,24.68,7.0
Goldfish,19.51,7.12,10.81,7.99
Trout,14.01,7.01,,7.52
Salmon,9.29,7.07,7.85,6.0
Clownfish,24.72,8.22,1.55,5.47
Tilapia,26.64,7.23,14.65,7.55
Catfish,22.42,6.84,37.28,5.82
Tilapia,22.88,7.51,40.22,4.31
,24.13,8.48,11.36,7.97
Catfish,27.48,6.86,62.2,5.56
Bass,15.96,7.3,10.23,
Catfish,24.06,6.03,6.81,6.17
Goldfish,12.09,8.26,17.82,5.66
Tilapia,23.22,7.3,17.08,7.3
Goldfish,17.21,7.95,,7.2
Bass,15.67,6.95,38.72,5.2
Goldfish,24.91,7.49,7.66,5.24
Clownfish,26.34,7.92,4.72,5.59
Clownfish,26.87,7.97,2.69,7.25
Salmon,8.73,7.05,6.59,9.21
Goldfish,19.74,8.49,13.33,7.57
Clownfish,27.62,7.87,0.54,5.75
Trout,16.85,7.16,4.4,7.35
Tilapia,28.46,6.81,25.97,5.69
Tilapia,24.21,7.74,19.95,4.07
Bass,23.7,6.79,6.79,6.77
Salmon,10.62,6.77,2.71,9.47
Tilapia,28.63,6.8,44.54,7.88
Clownfish,25.65,8.11,1.81,7.35
Tilapia,23.36,7.64,19.35,
Bass,19.14,6.4,25.25,6.49
Goldfish,20.71,7.87,6.89,7.83
Clownfish,24.19,8.31,3.63,6.71
Tilapia,28.17,6.99,30.61,4.17
Salmon,14.52,7.39,2.92,6.15
Tilapia,28.12,7.01,20.42,
Goldfish,14.87,8.01,5.4,6.41
Trout,11.69,6.76,8.47,7.06
Goldfish,12.38,,10.39,6.76
Trout,11.95,7.46,4.59,10.46
,21.14,6.13,45.96,5.75
Trout,16.13,7.03,3.45,11.05
Trout,12.4,6.68,5.08,11.31
Eel,10.8,7.26,19.63,
Clownfish,26.72,7.88,4.77,6.69
Tilapia,27.05,6.65,12.46,7.88
Catfish,24.26,6.61,15.94,4.11
Salmon,9.6,6.97,,8.01
Bass,16.65,6.53,6.43,8.16
Eel,21.51,,16.29,6.1
Bass,19.22,6.55,16.39,9.63
Trout,16.02,7.18,,10.53
Tilapia,22.69,7.38,12.68,7.14
Trout,14.22,7.35,8.65,8.13
Tilapia,26.89,,24.11,7.35
Goldfish,18.47,7.99,,6.69
Trout,14.03,6.67,1.1,9.08
Eel,18.45,7.36,26.36,
Bass,20.32,6.55,15.75,8.51
Tilapia,23.79,7.4,27.43,
Trout,10.89,7.09,2.27,7.36
Trout,13.45,,7.65,8.2
Catfish,,7.8,11.74,4.46
Tilapia,24.73,7.38,16.38,5.99
,20.53,7.27,24.69,5.59
Eel,8.06,6.43,25.27,4.83
,15.34,7.33,2.6,11.16
,21.53,6.75,27.93,5.68
Tilapia,22.71,7.77,19.58,5.98
Clownfish,27.21,7.9,3.28,5.56
Goldfish,24.33,8.23,,6.22
Clownfish,24.56,8.21,0.36,5.92
Clownfish,24.38,8.06,2.86,6.95
Goldfish,11.72,8.48,9.77,5.41
,10.5,7.44,4.35,8.43
Eel,18.17,6.92,15.8,7.94
Bass,19.11,6.09,20.9,4.79
Trout,14.78,7.21,2.29,11.35
Bass,24.53,6.37,7.73,6.03
Bass,15.3,6.37,37.4,8.78
Tilapia,22.31,6.68,28.92,5.8
Eel,15.99,6.14,21.93,6.11
Tilapia,28.45,6.72,15.36,6.74
Bass,19.29,6.85,38.31,4.92
Catfish,22.65,6.93,86.68,3.01
Catfish,26.37,6.87,53.03,6.82
Eel,18.52,7.04,24.11,6.79
Trout,13.39,,0.9,10.83
Clownfish,25.03,8.26,2.75,6.47
Eel,21.94,6.91,27.07,5.05
Tilapia,29.99,7.15,16.14,5.63
Trout,12.63,6.77,7.78,9.13
Clownfish,24.08,7.91,1.82,6.43
Clownfish,26.85,8.26,2.37,7.66
Trout,13.43,7.01,,9.84
Trout,12.25,,2.85,7.14
Tilapia,28.57,7.84,18.12,8.0
Catfish,21.18,7.92,12.49,3.6
Tilapia,28.11,7.9,43.08,5.46
Trout,17.62,7.15,,9.38
Eel,8.33,6.48,,
Salmon,10.97,6.65,0.04,8.82
Clownfish,25.27,8.35,1.76,6.22
Goldfish,13.79,8.05,18.17,6.07
Clownfish,24.18,8.16,3.15,7.32
Goldfish,16.99,7.96,14.52,
Bass,24.63,6.18,49.55,8.07
Salmon,8.16,6.73,,7.17
Clownfish,26.28,7.9,1.65,7.92
Catfish,23.52,7.75,6.74,
,27.96,8.21,3.5,6.51
Tilapia,25.96,6.53,45.23,4.13
Trout,16.84,6.84,5.66,10.42
Clownfish,27.05,7.91,3.18,5.32
Bass,22.14,6.13,34.02,9.26
Tilapia,26.76,7.91,39.65,6.95
Bass,18.16,7.14,15.51,6.97
Goldfish,17.49,8.26,14.71,5.52
Tilapia,22.34,7.29,40.56,6.69
Goldfish,11.7,8.49,18.34,6.08
Salmon,10.89,7.4,8.79,6.72
,21.19,7.88,19.34,5.77
Eel,24.09,7.09,23.73,4.33
Salmon,12.93,7.37,2.96,11.56
Clownfish,24.97,8.3,1.84,5.52
Catfish,,7.78,49.95,5.27
Catfish,22.54,7.18,5.07,6.77
Salmon,8.03,7.2,0.68,
Goldfish,23.72,7.17,7.23,7.34
Goldfish,20.33,7.86,14.18,6.47
Goldfish,,,13.16,7.48
Trout,16.52,7.01,9.71,11.18
Salmon,12.85,7.19,8.07,
Salmon,14.1,7.4,8.45,10.09
Bass,21.43,6.96,47.63,7.67
Catfish,24.17,6.57,40.72,4.82
Catfish,27.0,7.49,5.19,3.83
Catfish,25.11,7.49,55.71,4.87
Eel,24.37,,28.32,6.51
Bass,15.21,6.92,24.46,5.12
Catfish,20.4,,82.05,6.58
,13.06,7.23,,8.49
Salmon,14.7,6.61,1.32,10.21
Tilapia,28.73,6.67,35.19,4.94
Catfish,,7.29,92.92,4.36
Goldfish,21.42,8.05,8.75,
Bass,22.81,7.26,13.36,9.89
Clownfish,27.72,8.39,0.34,5.98
Goldfish,19.49,7.71,19.61,5.38
Tilapia,25.53,6.88,32.62,6.4
Bass,24.33,7.23,42.53,7.3
Trout,13.3,7.09,4.22,9.22
Catfish,26.64,7.64,90.91,4.71
Trout,15.65,6.69,8.97,9.81
Goldfish,21.96,7.69,11.82,6.99
Catfish,23.24,6.89,22.37,6.57
Goldfish,14.35,7.59,15.66,7.8
Trout,10.5,6.57,3.45,9.83
Clownfish,26.27,8.3,4.64,5.76
,21.03,6.47,19.29,4.5
Bass,19.72,7.07,42.89,9.61
Goldfish,,7.33,17.75,7.76
Salmon,14.45,7.38,0.92,7.11
Salmon,10.69,6.99,3.55,7.7
Salmon,14.34,6.97,0.45,8.94
Tilapia,29.11,7.46,45.81,4.83
Goldfish,22.37,7.2,8.48,7.97
Bass,16.47,6.18,5.68,6.59
Eel,17.18,6.15,23.35,6.61
Catfish,26.23,6.86,33.79,5.54
Clownfish,27.86,7.91,2.77,7.51
Bass,21.99,6.53,16.64,8.67
Catfish,20.72,7.33,38.24,6.5
Bass,,6.7,46.44,8.01
Trout,16.76,6.51,9.85,10.8
Eel,8.96,7.34,23.82,5.94
Bass,22.13,6.33,22.34,7.55
Eel,12.5,7.08,21.68,7.75
Eel,5.83,6.05,16.46,7.39
Tilapia,23.01,7.0,47.23,4.67
Tilapia,29.2,7.97,29.35,4.93
Eel,13.23,6.11,28.02,3.01
,11.53,7.45,9.86,11.79
Eel,23.83,7.97,24.93,6.26
Trout,17.26,6.67,,10.1
Goldfish,12.75,7.92,15.03,7.72
Clownfish,26.27,8.22,0.54,6.36
Salmon,8.8,7.27,4.58,8.51
Trout,17.88,6.98,7.82,10.5
Goldfish,11.08,7.56,8.43,6.33
,24.81,6.84,24.37,6.7
Eel,,6.6,11.99,7.57
Salmon,14.89,6.97,5.49,7.02
Goldfish,12.0,,19.45,
,5.01,7.13,19.9,6.39
Clownfish,26.84,8.33,0.62,5.88
Salmon,,7.46,8.37,7.87
Salmon,9.24,7.47,2.1,11.32
,22.9,6.6,92.16,3.51
Catfish,25.03,7.13,57.6,3.77
Trout,13.03,7.2,6.75,7.08
Catfish,20.99,6.19,48.72,3.36
Tilapia,28.61,7.01,47.39,5.93
Catfish,21.14,6.14,92.65,4.22
Clownfish,24.61,8.08,3.22,7.66
Bass,23.95,6.54,46.83,8.99
Bass,24.46,6.81,17.42,6.41
Goldfish,19.26,7.81,6.13,6.85
Trout,15.24,6.74,0.15,10.43
Catfish,23.22,6.58,83.19,5.28
,24.17,,,4.55
Salmon,12.03,7.45,3.11,8.8
Salmon,8.4,6.7,2.74,
Clownfish,24.77,8.22,4.06,7.39
Clownfish,26.98,,2.73,7.78
Trout,13.47,6.69,6.93,8.66
Catfish,22.86,6.83,96.16,6.22
Tilapia,29.38,7.14,35.88,
Catfish,22.68,6.95,17.44,3.82
,20.98,6.53,48.0,9.4
Catfish,24.58,7.19,36.57,4.04
Catfish,25.47,6.2,72.34,5.77
,19.1,6.4,44.03,6.62
Clownfish,25.94,7.93,,7.14
Bass,23.73,6.05,13.42,6.64
Tilapia,29.47,7.06,30.5,7.69
Catfish,26.45,6.32,39.94,4.15
Bass,24.55,6.86,36.91,5.06
Bass,22.83,,27.29,9.0
Goldfish,17.93,7.27,16.32,7.71
Tilapia,23.72,7.63,26.45,
Tilapia,25.88,6.54,,7.23
Goldfish,13.3,8.27,7.07,5.92
,13.68,7.01,5.14,8.93
Bass,22.73,7.21,6.65,7.9
Bass,18.55,7.36,24.14,9.6
Catfish,25.5,7.04,,4.91
Salmon,10.42,6.79,9.06,9.01
Bass,16.55,6.11,33.91,9.72
Catfish,23.63,7.5,42.83,5.67
Trout,15.08,6.61,,9.91
Catfish,24.56,7.15,23.08,3.12
Trout,16.45,7.22,2.43,11.58
Tilapia,23.52,6.6,12.05,4.84
Goldfish,23.68,8.14,17.61,7.93
Catfish,24.36,7.98,84.73,5.45
Bass,22.82,6.76,9.99,8.38
Bass,21.44,7.27,47.93,5.14
Salmon,13.23,7.47,4.05,11.83
Tilapia,25.52,6.93,40.77,6.86
Bass,19.19,6.53,49.81,4.71
Salmon,14.5,6.82,2.74,8.03
Tilapia,26.58,7.48,15.6,7.21
Goldfish,12.93,7.2,8.35,6.9
Bass,20.71,6.88,34.91,6.45
Tilapia,26.01,7.72,14.39,4.46
Tilapia,22.98,7.8,31.06,6.63
Bass,21.46,6.13,29.4,5.67
Catfish,24.54,6.69,58.34,6.71
Eel,10.09,7.8,23.11,
Tilapia,23.17,7.7,18.74,6.5
Eel,10.52,6.7,14.67,6.5
Bass,21.27,6.84,8.09,8.97
Goldfish,15.63,8.42,5.63,7.52
Salmon,11.59,6.55,4.5,7.94
Trout,10.59,6.51,3.67,
Tilapia,28.56,7.27,22.44,5.47
Tilapia,26.45,7.41,27.28,6.77
Eel,14.59,7.44,27.05,3.44
Catfish,21.88,6.81,12.83,4.65
Tilapia,23.4,6.82,41.52,6.74
Trout,13.22,7.28,,10.74
Goldfish,10.79,8.09,7.84,6.71
Eel,6.22,6.94,20.99,4.0
Trout,13.49,6.88,0.21,7.69
Goldfish,23.83,8.15,19.95,7.52
Trout,13.91,7.07,0.55,8.5
Clownfish,26.83,8.37,4.73,7.91
,24.61,8.11,2.09,6.38
,22.44,7.47,18.2,6.41
Salmon,,6.8,7.6,9.62
Trout,10.01,7.44,,10.01
Bass,20.29,6.66,40.85,8.36
Tilapia,26.19,6.57,16.63,
,17.53,7.41,31.85,4.68
Bass,19.54,7.18,19.47,4.15
Clownfish,24.13,7.86,,
Tilapia,28.17,7.42,34.62,4.83
Goldfish,22.78,7.96,15.98,6.17
,12.04,7.43,7.93,8.1
Tilapia,23.34,6.85,21.27,6.76
Bass,20.51,6.62,19.5,6.57
Catfish,27.16,7.2,58.48,4.03
Tilapia,23.88,6.57,29.03,4.65
Clownfish,24.81,7.86,2.67,6.91
Salmon,14.57,6.73,4.94,6.58
,26.91,7.82,3.35,7.95
Trout,,6.86,6.68,8.35
Catfish,,7.98,99.48,6.86
Goldfish,20.73,7.42,17.26,5.71
Bass,19.39,7.17,17.84,4.87
Catfish,26.39,7.8,22.43,5.78
Goldfish,11.8,7.2,,5.07
Goldfish,16.61,7.58,16.93,5.4
Bass,19.33,6.08,30.74,7.48
Eel,24.01,6.21,23.88,5.28
Bass,16.74,7.18,29.0,
Bass,23.4,7.0,10.72,8.17
Clownfish,24.04,8.37,2.84,7.66
Bass,21.11,7.39,47.99,
Goldfish,23.95,7.33,10.56,6.06
Goldfish,15.7,7.11,12.28,5.83
Goldfish,10.95,8.18,12.63,6.11
Trout,14.09,7.44,1.55,9.0
Salmon,11.62,7.23,2.35,10.48
Salmon,9.32,6.79,4.23,10.51
Tilapia,28.02,7.28,16.17,5.83
Bass,22.28,6.78,32.21,7.92
Tilapia,29.37,7.6,42.25,7.55
Goldfish,,7.67,11.34,
Eel,13.25,7.63,19.97,6.86
Bass,17.44,7.42,43.92,5.0
Goldfish,12.56,8.23,11.57,6.2
Tilapia,26.67,6.59,13.83,6.61
Clownfish,25.07,7.82,4.66,5.61
Trout,10.27,7.08,7.46,9.93
Clownfish,26.34,7.86,1.76,7.54
Bass,16.02,7.37,49.36,7.5
Eel,11.4,6.66,17.29,5.72
Eel,19.82,7.91,23.49,6.38
Clownfish,24.18,7.86,3.48,6.34
Bass,23.65,6.33,26.35,4.05
,10.81,6.17,24.48,
Goldfish,,7.09,6.1,7.09
Goldfish,22.92,8.13,15.81,5.33
Salmon,13.87,6.82,0.44,
Goldfish,22.72,7.52,13.72,6.84
Goldfish,10.57,7.96,7.5,7.78
Goldfish,11.04,8.44,12.66,5.96
Catfish,20.01,6.19,34.05,6.68
Catfish,24.88,7.38,68.7,4.81
Tilapia,27.53,7.56,45.75,4.75
Bass,20.11,6.72,13.39,8.75
Goldfish,20.43,7.7,8.95,6.33
Trout,14.13,7.26,7.24,7.03
Eel,18.64,6.8,23.62,6.13
Goldfish,22.47,7.07,17.28,5.64
Tilapia,24.43,7.66,34.78,5.29
Bass,15.98,7.06,37.21,9.81
Bass,17.07,7.24,28.01,5.32
Eel,8.93,,29.49,
Catfish,22.09,6.4,57.39,5.9
Clownfish,25.11,8.29,3.59,6.26
Salmon,10.01,7.04,7.78,9.33
Salmon,8.66,7.21,8.05,8.34
Clownfish,25.6,8.27,1.63,7.76
Eel,19.49,6.59,24.86,6.75
Eel,22.68,6.03,12.43,4.4
Bass,19.4,7.19,46.91,6.97
Eel,16.03,6.3,20.22,7.27
Trout,15.18,6.67,0.55,8.89
Clownfish,26.65,8.37,1.61,
Tilapia,24.71,7.85,29.33,4.06
Goldfish,10.22,8.17,10.7,
Trout,,7.35,8.67,11.99
Bass,24.37,6.88,14.53,
Tilapia,23.39,6.9,10.62,7.39
Tilapia,22.01,7.58,41.7,7.66
Catfish,23.94,6.13,42.28,3.08
Clownfish,24.9,7.82,0.62,6.59
Eel,15.37,6.49,10.38,4.92
Tilapia,28.37,7.24,34.55,6.32
Salmon,10.65,,0.5,9.61
Salmon,14.93,6.71,4.77,9.83
Tilapia,22.6,,41.5,5.62
Eel,8.6,6.27,15.6,7.81
Tilapia,26.13,7.82,28.12,7.58
Clownfish,25.87,8.35,3.95,7.1
,,8.24,4.17,5.89
Trout,,7.11,8.56,9.42
Tilapia,25.71,6.71,11.11,7.24
Bass,20.22,6.98,47.71,7.03
Tilapia,27.58,7.5,43.81,4.37
Goldfish,23.65,8.23,11.57,5.12
Eel,16.28,6.49,22.77,7.57
Salmon,10.2,7.29,7.66,8.25
Eel,13.78,7.56,11.97,7.13
Eel,22.22,6.02,23.37,5.27
,16.32,8.24,12.39,5.53
Catfish,27.89,7.66,,6.09
Salmon,8.17,7.3,4.19,7.39
Trout,16.22,6.92,9.4,11.27
Catfish,22.46,7.23,15.79,3.7
Tilapia,27.68,7.6,46.5,5.8
Goldfish,23.54,7.23,5.07,7.57
Goldfish,16.06,7.4,13.62,7.78
Trout,16.23,7.43,4.08,8.45
Salmon,13.36,7.46,3.78,10.5
Salmon,13.85,7.42,1.84,7.09
Catfish,21.83,,40.85,3.2
Goldfish,22.07,8.26,6.31,
Salmon,9.25,7.1,9.29,11.07
Salmon,14.77,6.75,6.23,10.33
Tilapia,25.47,7.56,29.42,4.62
Bass,18.02,6.93,8.41,7.13
Eel,11.46,,28.45,
Eel,16.12,6.2,26.04,7.1
Bass,17.19,6.72,33.82,4.36
Eel,20.18,6.71,26.91,6.16
Catfish,27.87,7.16,72.13,3.38
Trout,12.98,7.28,5.74,11.15
Trout,13.95,7.08,0.47,10.93
,20.57,6.17,47.86,5.97
Clownfish,24.02,,1.37,7.34
Tilapia,24.13,7.84,10.49,5.01
Goldfish,23.4,7.45,8.85,7.96
Trout,12.69,6.54,9.41,9.17
Salmon,12.18,6.78,9.95,9.45
Salmon,13.07,6.94,8.48,9.91
Eel,21.37,,13.7,7.06
Bass,20.85,6.09,18.84,9.01
,22.93,7.05,13.9,5.72
Eel,21.24,6.14,27.06,3.85
Clownfish,27.64,7.83,3.26,6.7
Trout,11.65,6.81,4.37,7.14
Goldfish,18.44,7.32,15.08,5.94
,27.53,6.93,30.97,5.97
Eel,22.24,7.78,20.64,3.73
Clownfish,24.94,8.22,2.61,5.37
Bass,22.97,7.32,41.01,7.52
Catfish,23.02,6.32,83.08,
Catfish,22.23,6.38,8.3,5.56
Tilapia,27.89,7.23,39.92,6.48
Trout,13.06,7.0,9.87,7.17
,23.41,7.62,6.88,6.1
Goldfish,17.94,7.06,5.62,7.78
Clownfish,26.82,8.07,4.46,6.39
Salmon,13.48,,9.5,6.97
Trout,16.2,6.62,,10.5
Catfish,20.95,6.08,74.2,5.69
Salmon,11.12,6.74,2.49,10.01
Tilapia,25.08,6.65,43.66,7.1
Tilapia,28.97,7.46,31.65,5.87
Goldfish,20.93,8.46,10.36,7.3
Salmon,13.03,6.82,4.82,6.95
Trout,16.98,7.35,2.44,8.58
Catfish,24.18,6.01,85.49,6.02
Goldfish,17.05,8.32,6.74,
Bass,20.77,6.92,16.87,7.27
Eel,15.97,6.41,25.05,6.28
Salmon,12.64,6.79,0.22,10.93
Salmon,,6.86,1.85,11.13
Salmon,10.79,6.58,8.01,9.86
Catfish,22.85,6.15,65.27,5.9
Trout,12.01,7.06,3.64,9.88
,21.65,7.29,,5.05
Catfish,20.12,7.54,82.0,3.07
Tilapia,29.78,7.29,28.53,6.34
Eel,16.64,7.86,25.94,7.11
Bass,15.51,7.26,31.59,7.65
Trout,16.09,6.99,8.16,8.06
Tilapia,24.01,7.34,48.9,7.72
Bass,17.18,6.88,20.51,7.81
Tilapia,24.3,7.26,21.01,7.47
Trout,17.51,7.46,1.06,7.35
Catfish,22.18,7.96,16.65,5.96
Eel,24.27,6.7,21.78,3.51
Salmon,11.15,6.83,8.6,10.23
Catfish,25.39,6.71,17.88,5.11
Bass,15.56,7.39,33.55,
Bass,16.2,6.01,21.37,7.02
Bass,21.63,7.07,45.16,6.9
Bass,17.85,7.43,35.26,7.51
Catfish,,,67.42,6.88
Clownfish,24.32,7.88,2.37,5.61
Bass,24.29,6.4,37.2,5.45
Salmon,12.21,6.53,7.67,10.3
Salmon,12.85,6.91,1.51,8.12
Bass,24.81,7.1,22.23,7.79
Catfish,,7.26,58.79,6.5
Bass,17.65,6.36,49.32,8.89
Catfish,24.66,7.5,,5.17
Trout,15.6,7.11,2.17,9.59
Catfish,20.44,6.78,33.62,6.03
Clownfish,27.28,,3.92,7.84
Eel,14.05,7.1,20.91,5.95
Bass,19.89,,5.16,9.85
Eel,9.06,7.38,14.37,3.49
Salmon,9.46,,6.12,11.58
Catfish,23.11,7.0,14.86,
Goldfish,13.96,7.82,6.5,6.09
Tilapia,23.52,7.35,44.7,5.5
Eel,,7.8,19.31,4.77
Salmon,10.69,7.31,7.22,9.46
Clownfish,,8.03,4.07,6.27
Goldfish,12.49,7.06,15.91,5.14
Salmon,11.75,7.47,9.52,11.36
Tilapia,25.42,6.83,40.15,4.97
Eel,18.06,6.28,19.33,3.24
Trout,10.58,7.24,2.75,9.39
Goldfish,15.05,7.52,6.22,6.62
Trout,15.18,7.01,1.86,9.33
Goldfish,24.38,7.67,,7.43
Bass,,6.27,42.42,9.47
Catfish,26.98,6.78,92.18,5.68
Eel,8.77,7.25,23.1,7.34
Goldfish,,8.13,8.55,6.84
Tilapia,29.75,6.71,22.19,4.83
Salmon,13.12,7.28,1.13,9.49
